hsa:1	hsa:A1BG
hsa:100126347	hsa:MIR887
hsa:100126348	hsa:MIR760
hsa:100126349	hsa:MIR921
hsa:100126350	hsa:MIR933
hsa:100126351	hsa:MIR939
hsa:100126352	hsa:MIR941-3
hsa:100126354	hsa:MIR297
hsa:100126355	hsa:MIR365A
hsa:100126356	hsa:MIR365B
hsa:100126572	hsa:GJE1
hsa:100126780	hsa:SNAR-G1
hsa:100126781	hsa:SNAR-F
hsa:100126798	hsa:SNAR-A1
hsa:100126799	hsa:SNAR-A2
hsa:100126800	hsa:SNAR-A12
hsa:100127206	hsa:MINAR2
hsa:100127983	hsa:C8orf88
hsa:100128071	hsa:FAM229A
hsa:100128124	hsa:HGC6.3
hsa:100128327	hsa:TRAPPC3L
hsa:100128553	hsa:CTAGE4
hsa:100128569	hsa:C19orf71
hsa:100128731	hsa:OST4
hsa:100128908	hsa:LMLN2
hsa:100128927	hsa:ZBTB42
hsa:100129094	hsa:BTNL10
hsa:100129128	hsa:KHDC1L
hsa:100129216	hsa:DEFB131B
hsa:100129239	hsa:CXorf51A
hsa:100129250	hsa:SMIM27
hsa:100129271	hsa:C1orf68
hsa:100129278	hsa:TDRD15
hsa:100129361	hsa:SMIM10L1
hsa:100129385	hsa:C9orf92
hsa:100129396	hsa:FAM106C
hsa:100129407	hsa:FAM236A
hsa:100129480	hsa:MKRN2OS
hsa:100129515	hsa:ETDB
hsa:100129520	hsa:TEX13C
hsa:100129528	hsa:MUC8
hsa:100129543	hsa:ZNF730
hsa:100129583	hsa:FAM47E
hsa:100129654	hsa:TCF24
hsa:100129669	hsa:IZUMO3
hsa:100129792	hsa:CCDC152
hsa:100129836	hsa:COL4A2-AS2
hsa:100129842	hsa:ZNF737
hsa:100129924	hsa:TMEM269
hsa:100129969	hsa:FAM205C
hsa:10013	hsa:HDAC6
hsa:100130086	hsa:HSFX2
hsa:100130274	hsa:CCDC166
hsa:100130301	hsa:C8orf89
hsa:100130302	hsa:SUPT20HL1
hsa:100130311	hsa:C17orf107
hsa:100130348	hsa:TMEM262
hsa:100130361	hsa:CXorf49
hsa:100130519	hsa:TMEM221
hsa:100130520	hsa:CD300H
hsa:100130613	hsa:PRR32
hsa:100130705	hsa:ATP6V1FNB
hsa:100130733	hsa:LRRC70
hsa:100130742	hsa:LRRC69
hsa:100130771	hsa:EFCAB10
