hsa:377;ARF3
hsa:378;ARF4
hsa:379;ARL4D
hsa:381;ARF5
hsa:382;ARF6
hsa:383;ARG1
hsa:384;ARG2
hsa:387;RHOA
hsa:388;RHOB
hsa:389;RHOC
hsa:390;RND3
hsa:391;RHOG
hsa:392;ARHGAP1
hsa:393;ARHGAP4
hsa:394;ARHGAP5
hsa:395;ARHGAP6
hsa:396;ARHGDIA
hsa:397;ARHGDIB
hsa:398;ARHGDIG
hsa:399;RHOH
hsa:400;ARL1
hsa:401;PHOX2A
hsa:402;ARL2
hsa:403;ARL3
hsa:405;ARNT
hsa:406;ARNTL
hsa:407;ARR3
hsa:408;ARRB1
hsa:409;ARRB2
hsa:410;ARSA
hsa:411;ARSB
hsa:412;STS
hsa:414;ARSD
hsa:415;ARSL
hsa:416;ARSF
hsa:417;ART1
hsa:419;ART3
hsa:420;ART4
hsa:421;ARVCF
hsa:427;ASAH1
hsa:429;ASCL1
hsa:430;ASCL2
hsa:432;ASGR1
hsa:433;ASGR2
hsa:434;ASIP
hsa:435;ASL
hsa:438;ASMT
hsa:439;GET3
hsa:440;ASNS
hsa:443;ASPA
hsa:444;ASPH
hsa:445;ASS1
hsa:460;ASTN1
hsa:462;SERPINC1
hsa:463;ZFHX3
hsa:466;ATF1
hsa:467;ATF3
hsa:468;ATF4
hsa:471;ATIC
hsa:472;ATM
hsa:473;RERE
hsa:474;ATOH1
hsa:475;ATOX1
hsa:476;ATP1A1
hsa:477;ATP1A2
hsa:478;ATP1A3
hsa:479;ATP12A
hsa:480;ATP1A4
hsa:481;ATP1B1
hsa:482;ATP1B2
hsa:483;ATP1B3
hsa:486;FXYD2
hsa:487;ATP2A1
hsa:488;ATP2A2
hsa:489;ATP2A3
hsa:490;ATP2B1
hsa:491;ATP2B2
hsa:492;ATP2B3
hsa:493;ATP2B4
hsa:495;ATP4A
hsa:496;ATP4B
hsa:498;ATP5F1A
hsa:501;ALDH7A1
hsa:506;ATP5F1B
hsa:509;ATP5F1C
hsa:513;ATP5F1D
hsa:514;ATP5F1E
hsa:515;ATP5PB
hsa:516;ATP5MC1
hsa:517;ATP5MC2
hsa:518;ATP5MC3
hsa:521;ATP5ME
hsa:522;ATP5PF
hsa:523;ATP6V1A
hsa:525;ATP6V1B1
hsa:526;ATP6V1B2
hsa:527;ATP6V0C
hsa:528;ATP6V1C1
hsa:529;ATP6V1E1
hsa:533;ATP6V0B
hsa:534;ATP6V1G2
hsa:535;ATP6V0A1
hsa:537;ATP6AP1
hsa:538;ATP7A
hsa:539;ATP5PO
hsa:540;ATP7B
hsa:545;ATR
hsa:546;ATRX
hsa:547;KIF1A
hsa:549;AUH
hsa:550;AUP1
hsa:551;AVP
hsa:552;AVPR1A
hsa:553;AVPR1B
hsa:554;AVPR2
hsa:558;AXL
hsa:563;AZGP1
hsa:566;AZU1
hsa:567;B2M
hsa:570;BAAT
hsa:571;BACH1
hsa:572;BAD
hsa:573;BAG1
hsa:574;BAGE
hsa:575;ADGRB1
hsa:576;ADGRB2
hsa:577;ADGRB3
hsa:578;BAK1
hsa:579;NKX3-2
hsa:580;BARD1
hsa:581;BAX
hsa:582;BBS1
hsa:583;BBS2
hsa:585;BBS4
hsa:586;BCAT1
hsa:587;BCAT2
hsa:590;BCHE
hsa:593;BCKDHA
hsa:594;BCKDHB
hsa:595;CCND1
hsa:596;BCL2
hsa:597;BCL2A1
hsa:598;BCL2L1
hsa:599;BCL2L2
hsa:602;BCL3
hsa:604;BCL6
hsa:605;BCL7A
hsa:606;NBEAP1
hsa:607;BCL9
hsa:608;TNFRSF17
hsa:610;HCN2
hsa:611;OPN1SW
hsa:613;BCR
hsa:617;BCS1L
hsa:618;BCYRN1
hsa:622;BDH1
hsa:623;BDKRB1
hsa:624;BDKRB2
hsa:627;BDNF
hsa:629;CFB
hsa:631;BFSP1
hsa:632;BGLAP
hsa:633;BGN
hsa:634;CEACAM1
hsa:635;BHMT
hsa:636;BICD1
hsa:637;BID
hsa:638;BIK
hsa:639;PRDM1
hsa:640;BLK
hsa:641;BLM
hsa:642;BLMH
hsa:643;CXCR5
hsa:644;BLVRA
hsa:645;BLVRB
hsa:646;BNC1
hsa:648;BMI1
hsa:649;BMP1
hsa:650;BMP2
hsa:651;BMP3
hsa:652;BMP4
hsa:653;BMP5
hsa:654;BMP6
hsa:655;BMP7
hsa:656;BMP8B
hsa:657;BMPR1A
hsa:658;BMPR1B
hsa:659;BMPR2
hsa:660;BMX
hsa:661;POLR3D
hsa:662;BNIP1
hsa:663;BNIP2
hsa:664;BNIP3
hsa:665;BNIP3L
hsa:666;BOK
hsa:667;DST
hsa:668;FOXL2
hsa:669;BPGM
hsa:670;BPHL
hsa:671;BPI
hsa:672;BRCA1
hsa:673;BRAF
hsa:675;BRCA2
hsa:676;BRDT
hsa:677;ZFP36L1
hsa:678;ZFP36L2
hsa:680;BRS3
hsa:682;BSG
hsa:683;BST1
hsa:684;BST2
hsa:685;BTC
hsa:686;BTD
hsa:687;KLF9
hsa:688;KLF5
hsa:689;BTF3
hsa:690;BTF3P11
hsa:694;BTG1
hsa:695;BTK
hsa:696;BTN1A1
hsa:699;BUB1
hsa:701;BUB1B
hsa:705;BYSL
hsa:706;TSPO
hsa:708;C1QBP
hsa:710;SERPING1
hsa:711;ERC2-IT1
hsa:712;C1QA
hsa:713;C1QB
hsa:714;C1QC
hsa:715;C1R
hsa:716;C1S
hsa:717;C2
hsa:718;C3
hsa:719;C3AR1
hsa:720;C4A
hsa:721;C4B
hsa:722;C4BPA
hsa:725;C4BPB
hsa:726;CAPN5
hsa:727;C5
hsa:728;C5AR1
hsa:729;C6
hsa:730;C7
hsa:731;C8A
hsa:732;C8B
hsa:733;C8G
hsa:734;OSGIN2
hsa:735;C9
hsa:738;VPS51
hsa:740;MRPL49
hsa:741;ZNHIT2
hsa:744;MPPED2
hsa:745;MYRF
hsa:746;TMEM258
hsa:747;DAGLA
hsa:750;GAS8-AS1
hsa:752;FMNL1
hsa:753;LDLRAD4
hsa:754;PTTG1IP
hsa:755;CFAP410
hsa:757;TMEM50B
hsa:758;MPPED1
hsa:759;CA1
hsa:760;CA2
hsa:761;CA3
hsa:762;CA4
hsa:763;CA5A
hsa:765;CA6
hsa:766;CA7
hsa:767;CA8
hsa:768;CA9
hsa:770;CA11
hsa:771;CA12
hsa:773;CACNA1A
hsa:774;CACNA1B
hsa:775;CACNA1C
hsa:776;CACNA1D
hsa:777;CACNA1E
hsa:778;CACNA1F
hsa:779;CACNA1S
hsa:780;DDR1
hsa:781;CACNA2D1
hsa:782;CACNB1
hsa:783;CACNB2
hsa:784;CACNB3
hsa:785;CACNB4
hsa:786;CACNG1
hsa:788;SLC25A20
hsa:790;CAD
hsa:793;CALB1
hsa:794;CALB2
hsa:795;S100G
hsa:796;CALCA
hsa:797;CALCB
hsa:799;CALCR
hsa:800;CALD1
hsa:801;CALM1
hsa:805;CALM2
hsa:808;CALM3
hsa:810;CALML3
hsa:811;CALR
hsa:813;CALU
hsa:814;CAMK4
hsa:815;CAMK2A
hsa:816;CAMK2B
hsa:817;CAMK2D
hsa:818;CAMK2G
hsa:819;CAMLG
hsa:820;CAMP
hsa:821;CANX
hsa:822;CAPG
hsa:823;CAPN1
hsa:824;CAPN2
hsa:825;CAPN3
hsa:826;CAPNS1
hsa:827;CAPN6
hsa:828;CAPS
hsa:829;CAPZA1
hsa:830;CAPZA2
hsa:831;CAST
hsa:832;CAPZB
hsa:833;CARS1
hsa:834;CASP1
hsa:835;CASP2
hsa:836;CASP3
hsa:837;CASP4
hsa:838;CASP5
hsa:839;CASP6
hsa:840;CASP7
hsa:841;CASP8
hsa:842;CASP9
hsa:843;CASP10
hsa:844;CASQ1
hsa:845;CASQ2
hsa:846;CASR
hsa:847;CAT
hsa:857;CAV1
hsa:858;CAV2
hsa:859;CAV3
hsa:860;RUNX2
hsa:861;RUNX1
hsa:862;RUNX1T1
hsa:863;CBFA2T3
hsa:864;RUNX3
hsa:865;CBFB
hsa:866;SERPINA6
hsa:867;CBL
hsa:868;CBLB
hsa:869;CBLN1
hsa:871;SERPINH1
